From,To,Distance_m,Edge risk,edge humanitarian aid,Humanitarian Scenario Weights,Distance Scenario Weights,Danger Scenario Weights,,coefficients by factor,,
Beit Hanoun,gaza city int,2.99674,8.125,0.5,0.52,0.23,0.08,,humanitarian aids,danger,distance
Beit Lahia,gaza city int,0.42542,8.125,0.5,0.47,0.08,0.03,,0.15,0.6,0.2
Jabalia,Rafah int,1.78456,9.25,0.5,0.62,0.19,0.08,,0.15,0.2,0.6
Atatra,gaza city int,2.2777,8.375,0.5,0.54,0.20,0.07,,0.7,0.2,0.2
Al-Shati,Rafah int,1.97734,9.25,0.5,0.62,0.20,0.09,,,,
Rimal,Rafah int,1.24259,10,0.5,0.69,0.17,0.09,,,,
Tuffah neighborhood park,Rafah int,1.58141,9,0.5,0.59,0.17,0.07,,,,
Shuja'iyya,Rafah int,2.40218,9.5,0,0.68,0.25,0.18,,,,
Zeitoun,Rafah int,1.37575,9,0.5,0.59,0.16,0.07,,,,
Sabra,Rafah int,1.62586,9.5,0.5,0.64,0.18,0.09,,,,
Sheikh Radwan,Rafah int,1.61582,9.25,0.5,0.62,0.18,0.08,,,,
Nuseirat,north gaza int,2.66074,6,2,0.21,0.09,-0.20,,,,
Bureij,north gaza int,2.42447,5.75,2,0.18,0.07,-0.21,,,,
Maghazi,north gaza int,0.96151,5.25,2,0.10,-0.03,-0.25,,,,
Az Zawayda,north gaza int,0.8474,5.5,2,0.12,-0.03,-0.25,,,,
Deir al Balah,north gaza int,3.01952,5.75,2,0.19,0.10,-0.20,,,,
Al Musaddar,north gaza int,1.49976,5.5,2,0.14,0.01,-0.23,,,,
Abasan al-Kabira,middle camps int,0.80036,7.5,1.5,0.36,0.04,-0.13,,,,
Abasan al-Saghira,middle camps int,1.24127,8,1.5,0.43,0.08,-0.11,,,,
Bani Suheila,middle camps int,2.01172,8,1.5,0.44,0.12,-0.09,,,,
Khuza'a,middle camps int,3.12325,8.5,2.5,0.47,0.15,-0.21,,,,
Al Qarara,middle camps int,4.65055,7.75,1.5,0.46,0.27,-0.04,,,,
Al Fukhkhari,middle camps int,3.90558,7,2.5,0.32,0.16,-0.23,,,,
Rafah Camp,khan younes int,3.55696,9.5,2.5,0.58,0.20,-0.18,,,,
Tal as Sultan,khan younes int,1.83224,9.25,2.5,0.52,0.09,-0.21,,,,
مستشفي الخير,khan younes int,4.75958,9,1.5,0.60,0.31,-0.01,,,,
مدرسة الفاخورة,gaza city int,1.29891,8.125,0.5,0.49,0.13,0.05,,,,
Beit Hanoun,Al Quds Open University - Gaza Branch,9.41795,6.25,1,0.42,0.54,0.09,,,,
Beit Lahia,Al Quds Open University - Gaza Branch,6.89038,6.25,1,0.37,0.39,0.04,,,,
Jabalia,Al Quds Open University - Gaza Branch,3.10449,6.25,1,0.30,0.17,-0.03,,,,
Atatra,مستشفى الشفا - مبنى الحروق,6.11815,6,1,0.33,0.34,0.02,,,,
Atatra,Al Quds Open University - Gaza Branch,4.89076,6.5,1,0.36,0.28,0.01,,,,
Al-Shati,مستشفى الشفا - مبنى الحروق,1.84745,5.75,1,0.22,0.08,-0.07,,,,
Al-Shati,Al Quds Open University - Gaza Branch,0.50573,6.25,1,0.25,0.02,-0.08,,,,
Rimal,Gaza field hospital of the Jordanian-,3.68442,6,1,0.28,0.20,-0.03,,,,
Rimal,مستشفى الشفا - مبنى الحروق,1.31076,6.5,1,0.29,0.07,-0.06,,,,
Rimal,Al Quds Open University - Gaza Branch,0.49009,7,1,0.33,0.03,-0.07,,,,
Tuffah neighborhood park,مستشفى الشفا - مبنى الحروق,3.88167,5.5,1,0.23,0.20,-0.04,,,,
Tuffah neighborhood park,Al Quds Open University - Gaza Branch,3.53134,6,1,0.28,0.19,-0.03,,,,
Shuja'iyya,Gaza field hospital of the Jordanian-,3.88524,5.5,0.5,0.26,0.22,0.04,,,,
Shuja'iyya,مستشفى الشفا - مبنى الحروق,3.75642,6,0.5,0.31,0.23,0.05,,,,
Zeitoun,Gaza field hospital of the Jordanian-,2.04721,5,1,0.14,0.08,-0.08,,,,
Zeitoun,مستشفى الشفا - مبنى الحروق,1.09513,5.5,1,0.18,0.04,-0.09,,,,
Zeitoun,Al Quds Open University - Gaza Branch,2.52876,6,1,0.26,0.13,-0.05,,,,
Sabra,Gaza field hospital of the Jordanian-,2.1237,5.5,1,0.20,0.10,-0.07,,,,
Sabra,مستشفى الشفا - مبنى الحروق,2.43237,6,1,0.26,0.12,-0.05,,,,
Sabra,Al Quds Open University - Gaza Branch,3.72629,6.5,1,0.34,0.21,-0.02,,,,
Sheikh Radwan,مستشفى الشفا - مبنى الحروق,2.69735,5.75,1,0.24,0.13,-0.05,,,,
Sheikh Radwan,Al Quds Open University - Gaza Branch,1.47571,6.25,1,0.27,0.07,-0.07,,,,
Nuseirat,UNRWA-GFO,3.42677,5,3,0.07,0.06,-0.36,,,,
Bureij,مستشفى شهداء الاقصى,5.92109,4,4,-0.04,0.13,-0.48,,,,
Bureij,UNRWA-GFO,5.01206,4.75,3,0.07,0.15,-0.33,,,,
Bureij,جامعة الازهر كلية الحقوق المغراقة,5.94899,4.75,3,0.09,0.20,-0.31,,,,
Maghazi,مستشفى شهداء الاقصى,3.5258,3.5,4,-0.14,-0.02,-0.54,,,,
Az Zawayda,مستشفى شهداء الاقصى,2.03385,3.75,4,-0.14,-0.10,-0.56,,,,
Deir al Balah,مستشفى شهداء الاقصى,1.01595,4,4,-0.13,-0.15,-0.58,,,,
Al Musaddar,مستشفى شهداء الاقصى,2.72643,3.75,4,-0.13,-0.06,-0.55,,,,
Abasan al-Kabira,Islamic University - khanyonuis,2.99373,6,3,0.17,0.06,-0.34,,,,
Abasan al-Saghira,Islamic University - khanyonuis,3.87304,6.5,3,0.24,0.12,-0.31,,,,
Bani Suheila,Islamic University - khanyonuis,2.34807,6.5,3,0.21,0.03,-0.34,,,,
Khuza'a,Islamic University - khanyonuis,5.18225,7,4,0.27,0.16,-0.43,,,,
Al Qarara,مستشفى شهداء الاقصى,6.92658,5.25,3.5,0.14,0.25,-0.36,,,,
Al Qarara,UNRWA vocational college,5.34568,5.75,3,0.19,0.19,-0.30,,,,
Al Qarara,Islamic University - khanyonuis,6.29733,6.25,3,0.26,0.26,-0.27,,,,
Al Fukhkhari,Islamic University - khanyonuis,4.26219,5.5,4,0.09,0.07,-0.48,,,,
Rafah Camp,Islamic University - khanyonuis,10.69846,7,4,0.38,0.48,-0.32,,,,
Tal as Sultan,UNRWA vocational college,9.84585,6.25,4,0.28,0.41,-0.35,,,,
مستشفي الخير,UNRWA vocational college,1.8849,6,3,0.15,-0.01,-0.36,,,,
مدرسة الفاخورة,Gaza field hospital of the Jordanian-,7.79078,5.25,1,0.28,0.42,0.03,,,,
مدرسة الفاخورة,مستشفى الشفا - مبنى الحروق,6.35806,5.75,1,0.31,0.35,0.02,,,,
مدرسة الفاخورة,Al Quds Open University - Gaza Branch,5.14073,6.25,1,0.34,0.29,0.01,,,,
north gaza int,مستشفى شهداء الاقصى,2.78266,3.75,2,-0.03,0.04,-0.25,,,,
gaza city int,Al Quds Open University - Gaza Branch,6.89259,5.875,0.5,0.36,0.41,0.11,,,,
middle camps int,Islamic University - khanyonuis,2.43305,5.5,1.5,0.18,0.09,-0.14,,,,
khan younes int,UNRWA vocational college,9.49901,6,1.5,0.37,0.51,0.01,,,,
khan younes int,Islamic University - khanyonuis,9.10842,6.5,1.5,0.42,0.50,0.01,,,,
Rafah int,Gaza field hospital of the Jordanian-,3.72036,6,0.5,0.31,0.23,0.05,,,,
Rafah int,مستشفى الشفا - مبنى الحروق,2.32507,6.5,0.5,0.34,0.16,0.03,,,,
Rafah int,Al Quds Open University - Gaza Branch,1.90046,7,0.5,0.38,0.14,0.03,,,,
