scenario,source,target,path,cost,algorithm,note
distance,Beit Hanoun,مستشفى شهداء الاقصى,,,,no path
distance,Beit Hanoun,Gaza field hospital of the Jordanian-,"['Beit Hanoun', 'gaza city int', 'مدرسة الفاخورة', 'Gaza field hospital of the Jordanian-']",11.139999999999999,dijkstra,ok
distance,Beit Hanoun,مستشفى الشفا - مبنى الحروق,"['Beit Hanoun', 'Al Quds Open University - Gaza Branch', 'Rimal', 'مستشفى الشفا - مبنى الحروق']",10.08,dijkstra,ok
distance,Beit Hanoun,UNRWA vocational college,,,,no path
distance,Beit Hanoun,UNRWA-GFO,,,,no path
distance,Beit Hanoun,Al Quds Open University - Gaza Branch,"['Beit Hanoun', 'Al Quds Open University - Gaza Branch']",6.7,dijkstra,ok
distance,Beit Hanoun,جامعة الازهر كلية الحقوق المغراقة,,,,no path
distance,Beit Hanoun,Islamic University - khanyonuis,,,,no path
distance,Beit Lahia,مستشفى شهداء الاقصى,,,,no path
distance,Beit Lahia,Gaza field hospital of the Jordanian-,"['Beit Lahia', 'gaza city int', 'مدرسة الفاخورة', 'Gaza field hospital of the Jordanian-']",9.6,dijkstra,ok
distance,Beit Lahia,مستشفى الشفا - مبنى الحروق,"['Beit Lahia', 'Al Quds Open University - Gaza Branch', 'Rimal', 'مستشفى الشفا - مبنى الحروق']",8.56,dijkstra,ok
distance,Beit Lahia,UNRWA vocational college,,,,no path
distance,Beit Lahia,UNRWA-GFO,,,,no path
distance,Beit Lahia,Al Quds Open University - Gaza Branch,"['Beit Lahia', 'Al Quds Open University - Gaza Branch']",5.18,dijkstra,ok
distance,Beit Lahia,جامعة الازهر كلية الحقوق المغراقة,,,,no path
distance,Beit Lahia,Islamic University - khanyonuis,,,,no path
distance,Jabalia,مستشفى شهداء الاقصى,,,,no path
distance,Jabalia,Gaza field hospital of the Jordanian-,"['Jabalia', 'Rafah int', 'Gaza field hospital of the Jordanian-']",6.15,dijkstra,ok
distance,Jabalia,مستشفى الشفا - مبنى الحروق,"['Jabalia', 'Rafah int', 'مستشفى الشفا - مبنى الحروق']",5.42,dijkstra,ok
distance,Jabalia,UNRWA vocational college,,,,no path
