scenario,source,target,path,cost,algorithm,note
risk,Beit Hanoun,مستشفى شهداء الاقصى,,,,no path
risk,Beit Hanoun,Gaza field hospital of the Jordanian-,"['Beit Hanoun', 'Al Quds Open University - Gaza Branch', 'Zeitoun', 'Gaza field hospital of the Jordanian-']",12.55,dijkstra,ok
risk,Beit Hanoun,مستشفى الشفا - مبنى الحروق,"['Beit Hanoun', 'Al Quds Open University - Gaza Branch', 'Zeitoun', 'مستشفى الشفا - مبنى الحروق']",12.66,dijkstra,ok
risk,Beit Hanoun,UNRWA vocational college,,,,no path
risk,Beit Hanoun,UNRWA-GFO,,,,no path
risk,Beit Hanoun,Al Quds Open University - Gaza Branch,"['Beit Hanoun', 'Al Quds Open University - Gaza Branch']",5.43,dijkstra,ok
risk,Beit Hanoun,جامعة الازهر كلية الحقوق المغراقة,,,,no path
risk,Beit Hanoun,Islamic University - khanyonuis,,,,no path
risk,Beit Lahia,مستشفى شهداء الاقصى,,,,no path
risk,Beit Lahia,Gaza field hospital of the Jordanian-,"['Beit Lahia', 'Al Quds Open University - Gaza Branch', 'Zeitoun', 'Gaza field hospital of the Jordanian-']",12.05,dijkstra,ok
risk,Beit Lahia,مستشفى الشفا - مبنى الحروق,"['Beit Lahia', 'Al Quds Open University - Gaza Branch', 'Zeitoun', 'مستشفى الشفا - مبنى الحروق']",12.16,dijkstra,ok
risk,Beit Lahia,UNRWA vocational college,,,,no path
risk,Beit Lahia,UNRWA-GFO,,,,no path
risk,Beit Lahia,Al Quds Open University - Gaza Branch,"['Beit Lahia', 'Al Quds Open University - Gaza Branch']",4.93,dijkstra,ok
risk,Beit Lahia,جامعة الازهر كلية الحقوق المغراقة,,,,no path
risk,Beit Lahia,Islamic University - khanyonuis,,,,no path
risk,Jabalia,مستشفى شهداء الاقصى,,,,no path
risk,Jabalia,Gaza field hospital of the Jordanian-,"['Jabalia', 'Rafah int', 'Gaza field hospital of the Jordanian-']",10.05,dijkstra,ok
risk,Jabalia,مستشفى الشفا - مبنى الحروق,"['Jabalia', 'Rafah int', 'مستشفى الشفا - مبنى الحروق']",10.079999999999998,dijkstra,ok
risk,Jabalia,UNRWA vocational college,,,,no path
risk,Jabalia,UNRWA-GFO,,,,no path
risk,Jabalia,Al Quds Open University - Gaza Branch,"['Jabalia', 'Al Quds Open University - Gaza Branch']",4.17,dijkstra,ok
risk,Jabalia,جامعة الازهر كلية الحقوق المغراقة,,,,no path
risk,Jabalia,Islamic University - khanyonuis,,,,no path
risk,Atatra,مستشفى شهداء الاقصى,,,,no path
risk,Atatra,Gaza field hospital of the Jordanian-,"['Atatra', 'مستشفى الشفا - مبنى الحروق', 'Zeitoun', 'Gaza field hospital of the Jordanian-']",11.149999999999999,dijkstra,ok
risk,Atatra,مستشفى الشفا - مبنى الحروق,"['Atatra', 'مستشفى الشفا - مبنى الحروق']",4.62,dijkstra,ok
risk,Atatra,UNRWA vocational college,,,,no path
risk,Atatra,UNRWA-GFO,,,,no path
risk,Atatra,Al Quds Open University - Gaza Branch,"['Atatra', 'Al Quds Open University - Gaza Branch']",4.68,dijkstra,ok
risk,Atatra,جامعة الازهر كلية الحقوق المغراقة,,,,no path
risk,Atatra,Islamic University - khanyonuis,,,,no path
risk,Al-Shati,مستشفى شهداء الاقصى,,,,no path
risk,Al-Shati,Gaza field hospital of the Jordanian-,"['Al-Shati', 'Rafah int', 'Gaza field hospital of the Jordanian-']",10.09,dijkstra,ok
